Country,Year,Population,Taux d'épargne,Taux de croissance démographique,GDP (constant 2015 US$),Gross Fixed Capital Formation (constant 2015 US$),"Population ages 15-64, total",Gross Fixed Capital Formation (% GDP)
Austria,2004,8171966,,0.620413127334181,329602607197.97,79811284206.8847,5560036,23.7682466626674
Austria,2005,8227829,26.8843124330231,0.681267248299787,337250591613.85,80122566924.4527,5576283,23.2345864227667
Austria,2006,8268641,27.6096238550131,0.494797775098466,348276446973.261,81191066671.0758,5585717,22.8306808001519
Austria,2007,8295487,28.9800155852079,0.324146535285463,361424665131.865,84847724918.634,5596898,23.1393973500284
Austria,2008,8321496,29.4644776471493,0.313041437661508,366677270021.069,86349984291.7953,5614542,23.5337970115719
Austria,2009,8343323,25.7189313783995,0.261953189906348,353527252232.556,80259416463.4082,5627722,22.6637107958545
Austria,2010,8363404,26.5297208029823,0.240394299500766,359922498957.786,78274983868.7262,5646956,21.8611554230227
Austria,2011,8391643,26.929190381546,0.337080841831645,370459114608.076,83320835468.8136,5674265,22.7073592505649
Austria,2012,8429991,26.5517225984531,0.45593747231891,372786509841.892,84383540229.6089,5695316,22.9527434287837
Austria,2013,8479823,26.4443050886665,0.589387254692989,371851835102.085,85430081606.6136,5717663,23.3121101516353
Austria,2014,8546356,27.1527539950713,0.781541632525841,374662287839.195,85152793254.5015,5752623,22.9671788352856
Austria,2015,8642699,26.3436242170595,1.12099250236958,379546097300.633,86900730957.521,5810894,22.8959621968365
Austria,2016,8736668,27.7247046722407,1.08139629872802,387581921933.047,90841294692.071,5865273,23.3219102437796
Austria,2017,8797566,26.9635636655762,0.694621103604983,396388752620.721,94629426888.6296,5892111,23.8459451205616
Austria,2018,8840521,27.4632777540077,0.487071924768999,406235924727.366,98806173741.7199,5906127,24.3135937640992
Austria,2019,8879920,28.4260204369228,0.444673639004876,413365269561.549,103012060841.369,5917299,25.0801117201002
Austria,2020,8916864,29.2970751760137,0.415176731565556,387247796564.086,97526452697.5699,5924102,25.134256704245
Austria,2021,8955797,29.1359764695507,0.435671684056384,405817602863.188,103363231656.868,5926631,25.875777004151
Austria,2022,9041851,27.514758748639,0.956287797076634,427236226636.132,103747236287.339,5955333,25.4741768856096
Austria,2023,9131761,26.2743599939154,0.989464653969154,423156281454.21,100415538832.265,5984348,24.9012402549934
Belgium,1990,9967379,,0.298235706313592,295130312407.396,69162749772.2917,6673167,23.9803812910788
Belgium,1991,10004486,,0.371593165668169,300540270633.774,66279774834.5984,6673751,22.3916858211095
Belgium,1992,10045158,,0.405713495856337,305140504133.549,66971014679.6124,6681402,22.0981515076207
Belgium,1993,10084475,,0.390638517826929,302205439784.666,65281691433.0918,6693163,21.3180910069297
Belgium,1994,10115603,,0.308197073686726,311957523308.047,65524468386.741,6702285,20.7984827812125
Belgium,1995,10136811,,0.209436838020324,319396952585.876,67761725683.8097,6703399,21.2317407409695
Belgium,1996,10156637,,0.1953931762382,323617567359.636,68136508043.1339,6702908,21.1846630058459
Belgium,1997,10181245,,0.241991884983082,335894554944.544,72701202735.5086,6706041,21.8542937017378
Belgium,1998,10203008,,0.213527650670943,342484242694.343,74338336714.68,6708631,21.7804884968778
Belgium,1999,10226419,,0.229189103029716,354617493993.784,77382635936.1832,6714997,22.1665354285214
Belgium,2000,10251250,,0.242517956221334,367797580691.145,81227904718.0703,6723639,22.5070638327085
Belgium,2001,10286570,,0.343951157623668,371841896085.61,82548779814.3593,6743105,22.3902708268942
Belgium,2002,10332785,26.37176774741,0.448268894821562,378188843495.686,79139193444.85,6774350,20.696424121126
Belgium,2003,10376133,26.2242285590273,0.418641508069053,382114274583.92,79034840428.948,6804774,20.4941888377035
